x	y	cat1	cat2
56.1	5.63	Baby Foods	1
51.8	-1.76	Baby Foods	1
56.2	4.58	Baby Foods	1
58.0	33.3	Baby Foods	1
60.9	30.9	Baby Foods	1
60.6	32.2	Baby Foods	1
57.6	35.0	Baby Foods	1
57.6	35.1	Baby Foods	1
59.6	5.7	Baby Foods	1
61.8	34.0	Baby Foods	1
61.5	33.9	Baby Foods	1
58.3	32.4	Baby Foods	1
58.2	32.6	Baby Foods	1
30.8	43.1	Baby Foods	1
60.2	4.95	Baby Foods	1
60.5	5.41	Baby Foods	1
60.3	34.3	Baby Foods	1
61.0	32.2	Baby Foods	1
55.0	39.0	Baby Foods	1
58.5	34.2	Baby Foods	1
54.1	39.7	Baby Foods	1
50.3	1.76	Baby Foods	1
57.9	32.2	Baby Foods	1
60.0	6.17	Baby Foods	1
56.8	37.4	Baby Foods	1
59.0	33.2	Baby Foods	1
56.7	37.5	Baby Foods	1
59.8	33.5	Baby Foods	1
56.8	37.5	Baby Foods	1
55.6	39.1	Baby Foods	1
55.2	36.9	Baby Foods	1
54.8	38.0	Baby Foods	1
59.2	34.6	Baby Foods	1
54.1	38.3	Baby Foods	1
58.4	36.9	Baby Foods	1
56.1	36.7	Baby Foods	1
55.7	38.8	Baby Foods	1
56.1	37.6	Baby Foods	1
-27.3	43.7	Baby Foods	1
-27.3	42.0	Baby Foods	1
-27.0	43.2	Baby Foods	1
-27.0	42.9	Baby Foods	1
51.0	2.75	Baby Foods	1
48.0	3.56	Baby Foods	1
-28.0	44.7	Baby Foods	1
-27.3	42.5	Baby Foods	1
47.2	4.06	Baby Foods	1
47.2	3.92	Baby Foods	1
-29.2	47.3	Baby Foods	1
-28.0	44.8	Baby Foods	1
51.9	2.84	Baby Foods	1
35.7	37.5	Baby Foods	1
35.6	37.5	Baby Foods	1
45.4	8.71	Baby Foods	1
41.3	8.71	Baby Foods	1
-28.9	33.8	Baby Foods	1
-46.2	9.58	Baby Foods	1
-46.6	9.15	Baby Foods	1
53.1	2.58	Baby Foods	1
-27.8	44.0	Baby Foods	1
-27.1	42.8	Baby Foods	1
-38.3	10.6	Baby Foods	1
-47.7	1.07	Baby Foods	1
-35.4	9.26	Baby Foods	1
-22.1	25.8	Baby Foods	1
-50.0	2.48	Baby Foods	1
59.9	3.58	Baby Foods	1
59.4	3.09	Baby Foods	1
58.9	1.88	Baby Foods	1
56.9	5.07	Baby Foods	1
56.9	4.66	Baby Foods	1
49.5	4.11	Baby Foods	1
60.3	4.77	Baby Foods	1
60.2	4.64	Baby Foods	1
38.9	42.8	Baby Foods	1
40.5	43.4	Baby Foods	1
49.7	3.63	Baby Foods	1
58.9	7.84	Baby Foods	1
58.5	6.72	Baby Foods	1
55.3	10.2	Baby Foods	1
35.5	9.95	Baby Foods	1
35.3	9.78	Baby Foods	1
59.3	33.8	Baby Foods	1
35.4	19.7	Baby Foods	1
56.7	37.5	Baby Foods	1
27.8	20.5	Baby Foods	1
28.3	44.0	Baby Foods	1
28.1	44.5	Baby Foods	1
29.4	44.3	Baby Foods	1
60.0	5.3	Baby Foods	1
24.1	46.9	Baby Foods	1
20.1	49.3	Baby Foods	1
26.9	45.1	Baby Foods	1
36.3	36.5	Baby Foods	1
49.1	8.26	Baby Foods	1
11.5	54.9	Baby Foods	1
49.7	8.72	Baby Foods	1
29.0	42.4	Baby Foods	1
47.7	7.04	Baby Foods	1
43.6	29.0	Baby Foods	1
35.1	20.1	Baby Foods	1
-27.2	36.2	Baby Foods	1
23.4	47.6	Baby Foods	1
37.5	-7.78	Baby Foods	1
9.43	25.5	Baby Foods	1
3.99	25.2	Baby Foods	1
5.76	25.7	Baby Foods	1
9.75	25.3	Baby Foods	1
4.44	25.2	Baby Foods	1
9.75	25.3	Baby Foods	1
-2.97	25.3	Baby Foods	1
8.72	25.5	Baby Foods	1
-2.77	25.2	Baby Foods	1
-2.8	25.3	Baby Foods	1
4.18	25.3	Baby Foods	1
9.64	25.3	Baby Foods	1
31.5	36.2	Baby Foods	1
8.09	33.4	Baby Foods	1
-9.23	52.6	Baby Foods	1
31.7	34.8	Baby Foods	1
-10.3	52.7	Baby Foods	1
31.7	34.8	Baby Foods	1
-10.3	52.6	Baby Foods	1
-10.2	52.3	Baby Foods	1
7.57	32.6	Baby Foods	1
30.8	34.1	Baby Foods	1
-10.8	51.6	Baby Foods	1
31.2	35.0	Baby Foods	1
7.46	32.0	Baby Foods	1
-10.3	52.6	Baby Foods	1
7.56	32.6	Baby Foods	1
3.89	59.3	Baby Foods	1
20.8	46.9	Baby Foods	1
-11.8	52.6	Baby Foods	1
29.7	33.7	Baby Foods	1
30.5	32.9	Baby Foods	1
7.25	31.0	Baby Foods	1
31.4	34.9	Baby Foods	1
-11.8	51.5	Baby Foods	1
-10.7	52.4	Baby Foods	1
7.44	32.6	Baby Foods	1
30.9	34.8	Baby Foods	1
-8.94	52.8	Baby Foods	1
-10.8	51.5	Baby Foods	1
17.6	46.8	Baby Foods	1
17.9	47.1	Baby Foods	1
30.4	33.5	Baby Foods	1
7.28	31.3	Baby Foods	1
-11.7	51.8	Baby Foods	1
7.49	31.9	Baby Foods	1
30.8	34.1	Baby Foods	1
30.5	33.4	Baby Foods	1
-11.9	52.3	Baby Foods	1
31.3	35.4	Baby Foods	1
7.96	32.9	Baby Foods	1
-11.8	51.3	Baby Foods	1
-9.74	52.1	Baby Foods	1
7.25	31.0	Baby Foods	1
31.6	35.3	Baby Foods	1
7.96	32.9	Baby Foods	1
30.4	32.7	Baby Foods	1
-9.73	52.1	Baby Foods	1
31.0	33.7	Baby Foods	1
10.1	32.1	Baby Foods	1
-31.7	46.7	Baby Foods	1
12.8	26.0	Baby Foods	1
-11.2	51.7	Baby Foods	1
31.5	34.6	Baby Foods	1
-10.7	52.4	Baby Foods	1
11.4	18.6	Baby Foods	1
30.4	32.5	Baby Foods	1
7.27	30.6	Baby Foods	1
-12.1	51.0	Baby Foods	1
31.1	33.4	Baby Foods	1
