x	y
50.1	1.06
-27.7	43.6
-45.7	-3
-42.9	41.2
-10.3	51.7
-96.9	9.53
-97	9.17
-44.9	-14.2
50	7.14
59.4	-0.177
-47.1	-13.9
-58.1	-8.69
-46.7	-13.2
7.86	-3.42
8.67	-4.52
55.6	-3.47
21.4	-0.555
12.5	-2.71
-74.1	0.493
-75.1	0.42
8.96	-2.95
33.2	10.6
-59.4	-8.96
-47	-13
-94.7	9.49
-93.2	9.67
-94.8	12.2
-96	13
-93.1	10.8
-94	9.87
-91.8	8.65
-93.4	10.6
-93.7	10.8
-94.7	8.55
-94.9	13
3.33	56.4
8.3	-3.4
-58.6	-8.84
6.25	58.9
-73.4	-0.323
-58.3	-9.26
-58.6	-8.83
8.07	-4.59
6.04	-2.04
58.9	-2.33
-75	0.429
-73.2	-0.234
18.9	1.66
-94.1	8.37
-93.6	12.7
-94.1	13.2
-94.4	12.5
-94.4	12.5
-91.7	8.97
-94.8	10.4
-94.3	8.78
-94.6	7.72
-93.8	12.2
-96.1	10.6
-96.8	9.57
-94.9	8.46
-95.1	12.6
-93.9	8.88
-76.1	1.38
-94.8	13.4
-93.4	11.4
-94.6	7.72
-57	-6.67
-93.6	7.96
-96.2	9.3
-94.1	10.4
-96.1	8.8
-94.1	13.2
-94.7	9.49
-94.7	9.49
-96.1	8.8
-96.2	9.67
-93.9	8.34
-94.7	9.49
-94.5	11.3
-94.6	7.72
-94.7	9.49
-94.5	11.3
-94.9	8.41
-93.6	7.96
-93.1	8.56
-96.2	9.45
-96.2	9.3
-94.6	7.72
-93.9	11.1
-94.6	7.72
-94.1	13.2
3.02	56
-94.7	9.49
-94.7	9.49
-94.4	10.7
7.72	67.6
-96.7	8.45
-96.7	8.45
-96.7	8.45
-96.7	8.45
-96.7	8.45
-94.6	7.72
5.81	55.8
-4.15	44.1
-4.12	44.1
-95.3	8.55
-95.8	8.38
3.3	56.1
3.46	55.6
4.42	55.7
4.53	56.2
4.6	55.7
-93.8	9.21
3.3	56.1
3.46	55.6
4.53	56.2
10.7	55.3
3.89	56.1
6.19	55.8
-75.1	1.1
-73.1	-0.16
-57.6	-9.42
9.61	56.6
9.48	55.4
9.48	55.4
18.9	1.68
41.2	-5.97
33.1	-8.68
-32.5	-21.2
0.512	-37.7
8.53	-3.37
-94.9	13
-93.2	11
-94.8	11.1
-93.9	11.1
-94.9	8.37
-93.2	9.67
-93.2	9.67
-94	9.87
-93.2	9.67
-93.2	9.67
-93.2	9.67
-94.1	10.4
-73.2	-0.405
-93.4	8.74
-93.5	8.75
-94	8.81
-93.8	7.55
-94	8.81
-93.1	8.04
-92.8	8.88
-93.3	8.74
-93.2	9.67
3.69	57.1
-94.7	9.49
-94.7	9.49
-75	1.07
-94	9.87
-94.9	10.3
-72.4	-0.98
6.15	59.4
15.6	1.91
66.9	11.6
-72.5	-0.331
-94	11.6
-90.3	7.71
-72.8	-0.713
-75.5	1.13
-93.5	11.6
11.8	-3.87
6.17	59.2
15.4	0.731
-45.8	-14.5
6.25	58.9
3.3	56.1
3.46	55.6
4.42	55.7
4.53	56.2
4.5	56.2
3.3	56.1
4.39	56.2
-96	10.9
-96.1	10.1
-94	9.87
-92.7	9.92
-93.6	12.7
-58.9	-8.73
-41.9	-8.18
21.9	-0.447
17.7	-3.58
-92.5	6.84
-46.3	-14
7.18	-60.6
0.502	40.5
-0.471	38.9
-0.124	40.9
0.343	39.6
0.982	39.4
-0.881	-27.7
-19.8	-26.2
-17.2	-32.8
-14.5	-33.8
